,KOTA,SAMPAH
0,KABUPATEN BANDUNG,11935.04
1,KABUPATEN BANDUNG BARAT,4973.370000000001
2,KABUPATEN BEKASI,11329.27
3,KABUPATEN BOGOR,13114.490000000002
4,KABUPATEN CIAMIS,2330.72
5,KABUPATEN CIANJUR,6498.919999999999
6,KABUPATEN CIREBON,3206.17
7,KABUPATEN GARUT,4485.29
8,KABUPATEN INDRAMAYU,5384.18
9,KABUPATEN KARAWANG,5998.44
10,KABUPATEN KUNINGAN,2487.63
11,KABUPATEN MAJALENGKA,2594.39
12,KABUPATEN PANGANDARAN,1278.55
13,KABUPATEN PURWAKARTA,2263.9
14,KABUPATEN SUBANG,4736.530000000001
15,KABUPATEN SUKABUMI,4039.19
16,KABUPATEN SUMEDANG,2533.71
17,KABUPATEN TASIKMALAYA,3532.33
18,KOTA BANDUNG,14522.779999999999
19,KOTA BANJAR,759.93
20,KOTA BEKASI,15505.310000000001
21,KOTA BOGOR,5953.47
22,KOTA CIMAHI,3113.35
23,KOTA CIREBON,1888.57
24,KOTA DEPOK,12210.61
25,KOTA SUKABUMI,1834.7299999999998
26,KOTA TASIKMALAYA,2755.7799999999997
